"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2007","AQS","410010004","3","16.5","ug/m3 LC","60","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"01/02/2007","AQS","410010004","3","17.1","ug/m3 LC","62","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"01/03/2007","AQS","410010004","3","11.5","ug/m3 LC","48","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"01/04/2007","AQS","410010004","3","7.9","ug/m3 LC","33","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"01/05/2007","AQS","410010004","3","6.8","ug/m3 LC","28","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"01/06/2007","AQS","410010004","3","5.7","ug/m3 LC","24","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"01/07/2007","AQS","410010004","3","9.4","ug/m3 LC","39","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"01/08/2007","AQS","410010004","3","26.4","ug/m3 LC","81","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"01/09/2007","AQS","410010004","3","9.7","ug/m3 LC","40","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"01/10/2007","AQS","410010004","3","5.3","ug/m3 LC","22","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"01/11/2007","AQS","410010004","3","4.6","ug/m3 LC","19","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"01/12/2007","AQS","410010004","3","6.6","ug/m3 LC","28","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
